Dynasty,Author,Title,Content,lable
Qing,文星瑞,广州昭忠祠联,大节炳南天，想当年断戟沉沙，兵气已随劫尘尽；崇祠依北郭，望空际云车风马，英魂都自战场来。,6
Ming,王猷定,舟行,海陵城忽过，四望远濛濛。布被经斜雨，蒲帆饱大风。惊鸥飞不定，初柳意无穷。三月今朝是，扁舟东复东。,5
Qing,王昶,重过尚湖,碧水渺无际，秋风送短舲。丝疏三汊柳，花落半湖菱。云树情方永，烟波兴更增。何当招地主，来此下寒罾。,6
Tang,包何,裴端公使院赋得隔帘见春雨,细雨未成霖，垂帘但觉阴。唯看上砌湿，不遣入檐深。度隙沾霜简，因风润绮琴。须移户外屦，檐溜夜相侵。,2
Ming,王佐,咏贞女唐亚妹,元运当阳九，干戈血四州。豺狼充内地，窈窕葬中流。江海经年咽，鱼龙入夜愁。前朝贞女传，谁为晋阳修。,5
Ming,王世懋,丙子除夕九江公署作,客散空堂鼓角余，还从小吏问爰书。浮踪岂为江山住，傲骨都随岁月除。暝色寒侵双鬓薄，雨声残入一灯疏。年来倍有东流感，不是天涯恨索居。,5
Tang,李峤,寒食清明日早赴王门率成,游客趋梁邸，朝光入楚台。槐烟乘晓散，榆火应春开。日带晴虹上，花随早蝶来。雄风乘令节，馀吹拂轻灰。,2
Yuan,王璋,次韵即事,莫为清醪忆故乡，喜闻社瓮响糟床。鲈鱼未出江头网，螃蟹初登步下艎。醉罢邻窗鸡扑碌，梦回空案鼠跳梁。谁言处士无供具，也得山童爨欲凉。,4
Yuan,白珽,湖楼玩雪,上湖十里捲帘中，幻出瑶华第一宫。山势蹴天银作浪，柳行扑地玉为虹。渔蓑鹤氅同为我，爵舌羊羔不负公。明日凤池朝退蚤，一鞭曾约试吟骢。,4
Ming,王圭,和戴帅初陪廉宪副游三天洞韵 其一,閒居耽胜事，远意得扁舟。白社多豪逸，黄花共拍浮。江山酬句律，时序入觥筹。不似城中客，红尘涨马头。,5
Yuan,汪珍,登宣城,夜炊芋火厌咸腥，晓困差便卯酒醒。云雨弄晴翻覆手，山川送客短长亭。天涯岁晚思田亩，原上风寒赋鹡鸰。明日归程好行色，梅花春小麦痕青。,4
Yuan,岳伯川,倘秀才,也不索嘱付你千言万言。想着咱同衙府十年五年。带云：倘我死之后。唱：你是必打听着山妻照顾着豚犬。他一头亡了夫主。废了家缘。带云：您嫂嫂是个年少妇人家。唱：他从来腼腆。,4
Song,王十朋,先君子去世五十日孤某入四友室睹平生遗迹哀号痛哭绝而复苏既而书四十字以寄罔极之思,先子神何在，人亡迹尚存。业馀经史案，趣寄圣贤尊。榻冷宁攲枕，堂虚已盖棺。晨昏徒泣血，无路报深恩。,3
WeiJin,刘琨,胡姬年十五,虹梁照晓日，渌水泛香莲。如何十五少，含笑酒垆前。花将面自许，人共影相怜。回头堪百万，价重为时年。,0
Ming,丁寿岗,大雨三旬（丙寅夏）,溽暑三旬雨，飞廉大肆威。昆虫愁湿穴，草木恋晴辉。薪桂炊烟细，刍金马力微。门前泥一膝，竟日客来稀。,5
Tang,李峤,奉和送金城公主适西蕃应制,汉帝抚戎臣，丝言命锦轮。还将弄机女，远嫁织皮人。曲怨关山月，妆消道路尘。所嗟秾李树，空对小榆春。,2
NanBei,释惠标,咏山诗三首 其一,灵山蕴丽名，秀出写蓬瀛。香炉带烟上，紫盖入霞生。雾卷莲峰出，岩开石镜明。定知丘壑里，并伫白云情。,1
Qing,王汝璧,小除夕大雪,驱傩趚趚纷踏沙，虎皮四目森排衙。谁将七十二泉水，一夜剪作连天花。雨风飕飗湿鼓震，山坳怪石填人家。冻云沈沈黑如墨，月明霜白惊昏鸦。元亭有客夜吐凤，笔花砚雨何滂葩。枯肠正要酒脯祭，白眼不待金篦爬。旃檀丈室结缪篆，松明石鼎煎苦茶。但看玉屑落麈尾，岂有银杯随马挝。冰壶涸冱春欲透，野田冻雀休啁嗟。舆粻载糗笑多事，短檠吐焰如彤霞。,6
Tang,李季华,题季子庙,季子让社稷，又能听国风。宁知千载后，蘋藻冷祠宫。,2
WeiJin,潘岳,于贾谧坐讲《汉书》诗,治道在儒，弘儒由人。显允鲁侯，文质彬彬。笔下摛藻，席上敷珍。前疑既辨，旧史惟新。惟新尔史，既辨尔疑。延我寮友，讲此微辞。,0
Ming,王鼎,游南岩和坐客韵,几度相期游此山，偷閒方始遂盘桓。山僧不惯游宾客，野老还知谒县官。隔叶比闻啼鸟好，朝阳行见起栖鸾。吾侪共沐恩波阔，谩倒金罍恣合欢。,5
Qing,王又旦,其二,淮海人何在，幽寻水一涯。到来云遍野，坐久树栖鸦。雨脚妨山翠，船头破浪花。烟江如画里，处处可为家。,6
Ming,叶汉,钓台烟树,昔有黎徵君，筑台钓江沚。坐台看流水，垂钓去香饵。雨过树留云，江清水见底。斯人去寥寥，台下空蓠芷。,5
Ming,于若瀛,合欢,一茎两三花，低垂泫朝露。开帘弄幽色，时有香风度。,5
Yuan,朱升,其二,堪羡幽人古瓦池，能令眼界足清奇。鱼儿闲泳冲萍藻，莲蕊初开不蔓枝。白石雨余浑凿凿，碧泉风动更差差。二难华萼相辉处，时复临风共赋诗。,4
Yuan,李元圭,感怀,异方久漂泊，岁晚羁吴门。慷慨俯流水，悠悠度朝昏。荆璞献所知，怀宝非有恩。达人一倾顾，至道千古存。富贵易追逐，焉能效尘奔。世态日已薄，忧心向谁论。,4
Tang,李怀远,凝碧池侍宴看竞渡应制,上苑清銮路，高居重豫游。前对芙蓉沼，傍临杜若洲。地如玄扈望，波似洞庭秋。列筵飞翠斝，分曹戏鹢舟。湍高棹影没，岸近榜歌遒。舞曲依鸾殿，箫声下凤楼。忽闻天上乐，疑逐海查流。,2
Yuan,郊居生,金铜仙人辞汉歌,神明台些茂陵鬼，六宫火灭刘郎死。芙蓉仙掌擎高秋，雄雷掣碎铜蛟髓。魏宫移盘天日昏，车声辚辚绕汉门。铁肝苦泪滴铅水，石马尚载西风魂。青天为客惊晓别，天籁啼声地维裂。铜台又折当涂高，夜夜相思渭城月。,4
Qing,释巨赞,辛巳八日，与方孝宽、盛成、徐值松、李焰生、雷震林、林半觉、唐伟、余维炯、关山月、林爱民诸公，为龙翁积之预祝期颐于月牙山纪事，步方孝宽韵,期颐预祝除腥腻，活火添薪煮嫩菘。雅谑不嫌京海派，清谈竞辩色心空。掀髯拟古情犹热，走笔成诗句独雄。更卜花朝同一醉，未知今是几番风。,6
Song,王邻臣,句,仲舒窥圃三年废，东野看花一日多。,3
NanBei,萧纲,斗鸡篇,欢乐良无已，东郊春可游。百花非一色，新田多异流。龙尾横津汉，车箱起戍楼。玉冠初警敌，芥羽忽猜俦。十日骄既满，九胜势恒遒。脱使田饶见，堪能说鲁侯。,1
NanBei,徐悱,对房前桃树咏佳期赠内诗,相思上北阁，徙倚望东家。忽有当轩树，兼含映日花。方鲜类红粉，比素若铅华。更使增心忆，弥令想狭邪。无如一路阻，脉脉似云霞。严城不可越，言折代疏麻。,1
Yuan,石国英,雁荡能仁寺遗诗,我行天下山水半，侧身西望长嗟叹。山到蜀川方绝奇，世殊久被微官绊。万里提兵雁荡来，高牙一展岚雾开。松风吹骑联镳入，高日下照翻经台。老僧振锡去何所，香篝寂寂佛无语。山鸣谷应应者谁，似有秦民宅幽阻。姑休尔旅枕尔鋋，云深不得惊龙眠。水晶一派泻琤玉，岁与清气中洄沿。二三溪碓长林下，人力罢舂天所借。草香花净太古春，虎啸猿吟明月夜。幽寻静胜登嵯峨，鸾旗柱笔光影摩。诗成写破峭壁翠，稽首岩前诺巨那。,4
Song,丁世昌,病中无聊忽徐渊子送酒,丹桂传香后，黄花著蕊时。老怀期欲赏，病足瘦难移。静对陶潜径，长吟杜甫诗。白衣人忽至，把酒慰愁眉。,3
WeiJin,束皙,其六 由仪（由仪。万物之生。各得其仪也。）,肃肃君子，由仪率性。明明后辟，仁以为政。鱼游清沼，鸟萃平林。濯鳞鼓翼，振振其音。宾写尔诚，主竭其心。时之和矣，何思何修。文化内辑，武功外悠。,0
Qing,王维坤,其二,河汉遥连凤阙边，使星久已见双县。何期作赋来王粲，更向传经识郑玄。驷马风流余蔓草，卧龙祠庙老啼鹃。天涯难聚西园侣，珍重婵娟一夜圆。,6
Yuan,于立,送柏子庭归四明,东风夜起江花落，荡桨过江江水香。并人晴树日杲杲，隔岸烟草春茫茫。题诗自有汤休句，载酒宁无贺监狂。菖蒲花发蒲萄熟，思尔令人意不忘。,4
Qing,方士淦,其四,承平五十载，耕凿六千家。回纥常栖寺，汾阳此建牙。独将苛政去，尤沐圣恩加。绳武推英嗣，勋名讵有涯。,6
Ming,叶盛,颜总戎镇朔巡边图,镇朔将军熊虎姿，幕府宏开当北陲。太平天子日无事，正此边巡閒暇时。维时夏初迫春暮，塞草青青茁边土。行人貂裘且为备，涧厎层冰尚多冱。东方雷动毛龙嘶，前驱早巳度磨笄。鉴鍪健士三千辈，锦绣攒风一色齐。金符玉敕黄封厚，高絓仍看印如斗。令严人马不敢哗，寂寂柴门走鸡狗。狼山道侧青嵯峨，和风不摇妫汭波。最惜年时伤旱暵，边户其如疲苦何。行行壮观多奇绝，万叠居庸寒积铁。奋身真欲俯危巅，看取鸿濛古时雪。黄金宫阙望中深，四陵剑舄垂云阴。中天白日照肝胆，清泪满颐愁寸心。结发从戎今白首，祇事明廷亦云久。北门枢管猥区区，欲报隆恩我何有。驰驱肯辞行路难，枪竿又复望长安。酒酣叱咤出关去，啁啾鬼哭悽风酸。穹庐乱点牛羊道，笑指胡雏眼中饱。杀气高连独石斜，天声震落三山小。六丁一夜屠腥臊，血波晓涨龙门涛。下劳阵前真意气，稍试新颁金字袍。群然众山临绝境，野鹊野狐非一姓。万国车书保障中，此乡原号虞台岭。虞台西出又荨麻，处处浓香开野花。亭堡重修不知数，时来借问耕人家。楚汉区区事征战，今日皇家作畿甸。几度扬镳下蔚州，好事郦生吁不见。茫茫沙塞已尘清，荡荡舆图仰盛明。父老戴香朝出郭，鼓笳连路夜归营。由来上将先强识，岂在论功在谋国。干戈不动四方宁，万岁千秋奉宸极。,5
Song,王氏（宇文绶妻）,望江南,公孙恨，端本笔俱收。枉念歌馆经数载，寻思徒记万馀秋。拓拔泪交流。村仆固，闷独驾孤舟。不望手勾龙虎榜，慕容颜老一齐休。甘分守闾丘。,3
Song,王操,喜故人至,地僻无宾侣，柴门昼始开。溪山寒叶落，江国故人来。话旧惊霜鬓，论诗滞酒杯。相留喜同宿，不寐曙光回。,3
Song,包恢,寄题武夷橘林小隐,武夷山下出清泉，观象宜知果行缘。小隐藏修人似玉，大书题品笔如椽。峰高屹立天成柱，溪静光浮月满船。个是我心真境界，元非六六彼中天。,3
Yuan,卞思义,次杨廉夫韵赠歌者翡翠屏,扬州曾赏琼花宴，吴下新传翡翠屏。湘水月明环佩冷，巫山云湿髻鬟青。蹙金孔雀非为贵，隔屋琵琶正好听。青鸟无情易飞去，雕笼深锁重丁宁。,4
Ming,史锦林,泥根玉雪原无染,翻水泥无染，香生玉雪根。过头云弄影，舒臂月留痕。爽带西来气，清宜露洗盆。眼穿公子匊，丝引美人扪。六出知同洁，双联岂共浑。激波如见采，太液正开樽。,5
Ming,王懋明,其三 莫愁湖,去年修禊日，曾往莫愁湖。心醉欢娱地，春随歌咏徒。风花香不断，烟柳弱难扶。一别无由到，空悲岁月徂。,5
Yuan,卞思义,题溪山烟雨图,西崦人家枕碧流，屋头高树近山头。短蓑烟雨归来晚，满地落花人倚楼。,4
NanBei,常景,赞四君诗四首 其一 司马相如,长卿有艳才，直致不群性。郁若春烟举，皎如秋月映。游梁虽好仁，仕汉常称病。清贞非我事，穷达委天命。,1
Yuan,史迁,其六,舞衣歌扇久寂寞，白雪时时梦里听。可怜春色别人去，能得花前几醉醒。,4
Qing,方世泰,送渤海公回吴门,倾盖即成故，因之离恨生。谈空不得力，此别若为情。渚白烟无际，江流月有声。遥知松偃处，童子下山迎。,6
WeiJin,江回,咏贫诗,荜门不启扉，环堵蒙蒿榛。空瓢覆壁下，箪上自生尘。出门谁氏子，惫哉一何贫。,0
Ming,王翃,客中九日,细雨成阴近夕阳，湖边飞阁照寒塘。黄花应笑关山客，每岁登高只异乡。,5
Ming,方拱乾,驱雀词,雀莫啄我蔬，我蔬种已迟。衰年事事钝，辛勤还后时。聊取生意足，宁独疗长饥！甲坼才如豆，不及邻家肥。肥蔬啄可饱，瘦蔬啄无遗。饥我不饱汝，两伤亦奚为？欲驱不忍击，短竿护疏篱。我蔬肥有日，除竿任汝飞。听汝嗷嗷音，生事同我微。,5
Tang,僧元安,答学人问如何是西来意（题拟）,飒飒当轩竹，经霜不知寒。祇闻风击响，不知几千竿。,2
Tang,李方叔,南风之薰赋（以悦人阜财生物咸遂为韵）,至矣哉。如天之君。声明化淳。穆南端而作乐。播薰风以养人。顺圣时而和。则气无留慝。解吾氓之愠。故物无不亲。所以应乎品类。遍乎天地。感一德而当阳。处八方之正位。使夫微者必扇。幽者必遂。不以动而有光。和而能至。风之始也。日月贞明。星辰齐平。然后荡荡而起。熙熙而生。触类而煦然长育。无朕而潜来备盈。行而有孚。倚五弦而调四气。广而不费。匝九垓而周八纮。非比夫抵华叶。陵高城。转丛蕙而渥彩。合万籁而成声者也。风之达也。本于元首。播于偫有。使五福富昌。万物殷阜。宜其叶无为之大化。匪独革有苗之小丑。亦有广莫北动。阊阖东来。不如自其南而掩器。一其薰而阜财。则知端拱垂黻。化人无拂。则必合其君。资其物。岂惟三国不监。二叔不咸。徒偃其禾。而表其谗。故我君烈烈。行道有截。歌祖德而庶事用康。谐舜乐而鸣琴不撤。被南风之溥畅。慰远黎之胥悦。士有欲抟风于九霄。希假势于一挈。,2
Ming,王錂,普天乐,小生扮楚襄王引众上：鬻熊创业开鄢郢。百二河山雄镇。狎主齐盟。维城周室。一统天王明圣。春秋鼎盛。喜孜孜补衮。跻跻臣邻。乐奏南薰。尊倾北斗宴升平。,5
Qing,丁惠康,其三,飘飖郁归思，晨风怀北林。佳人殊未来，何以重南金。清商厉孤响，摇落谢芳心。不畏霜雪盛，所悲岁序侵。白驹皎空谷，季女饥山岑。邈矣广陵散，悠哉梁甫吟。玄赏谅非昔，无闷贵自今。挥手息群动，在抱何钦钦。,6
Ming,方维仪,读苏武传,从军老大还，白发生已久。但有汉忠臣，谁怜苏氏妇。,5
Yuan,契玉立,谒天圣宫,玉骑朱旄降翠峦，神光紫气应函关。真仙出没时无有，客使忧勤自往还。古殿烟横千岁柏，灵池云绕万重山。琼枝珠蕊垂甘露，愿转丰年瑞雪颁。,4
Qing,方尔谦,自题门联,捐四品官，无地皮可铲；租三间屋，以天足自娱。,6
Yuan,吴师道,题官舍壁,官舍千峰里，迎秋气已清。池烟明鹤影，林雨断蝉声。红惜芙蓉落，青怜薜荔生。今朝少公事，吟啸且怡情。,4
Tang,何频瑜,开三面网赋（以仁圣之道开三面为韵）,汤既有殷。圣德日新。敬畋游必因于无事。取禽兽不为乎资身。于是设无私之网。当去杀之辰。加一目而虽期于用。开三面而盖取诸仁。乃言曰。遂尔之性。启予有圣。悲罗者之所重伤。诏虞人悉除其令。恢恢虽设。不为四校之防。荡荡无疑。必遂三驱之命。是用施诸大麓。祝以嘉辞。举数隅而罔烦曲取。当直道而岂假周维。故得兽安狂顾。鸟释危疑。弗虑弗图。自乐已生者足矣。若亡若存。不用吾命者絷之。当夫蒐狩有常。稼苗是宝。将遂乎驱逐。岂烦乎穷讨。所以释从禽之利。以绝一源。解竟野之罟。欲穷诸道。遂得行无所阻。物不怀猜。念偫生而东西必遂。嘉众路而远近咸开。弱羽飞空。未见触丝之患。微行走地。曾无系足之哀。故曰圣道克美。深仁及此。虽有畋猎而无荒。虽有罝罘而必弛。所以冠百王而不怍。历万祀而无惭。正其德而惟守一。用其网而必去三。芳随事远。化与恩覃。则里革断罟之心。庶修遗美。西巴放麛之感。足继清谈。今天子意在蒐田。志清郊甸。庖羲之网屡设。成汤之心未变。已焉哉。谁能述三代之所兴。庶可垂永于南面。,2
Yuan,安轴,宿银溪驿,马首前途熟，归来已再经。天寒积雪白，夜永一灯青。暗室闻饥鼠，疏帘见小星。溪名如有实，岂得属邮亭。,4
Yuan,邢叔亨,木兰花慢,一上蒲东东岳，山头陡起神宫。有松柏参天，杏桃张锦，遍地春风。年年今朝此日，王孙仕女骤骄骢。十载妖兵乱国，一时豪杰潜踪。我为狂客气盈胸。起坐听晨钟。喜夜雨如酥，晓晴似拭，香火扬空。眼下太平可幸，官军分散息兵戎。剑戟变为农器，四民乐业无穷。,4
Tang,约禅师,其二,宝盖挂空中，有路不曾通。傥求言下旨，便是有西东。,2
NanBei,谢灵运,长歌行,倏烁夕星流，昱奕朝露团。粲粲乌有停，泫泫岂暂安。徂龄速飞电，颓节骛惊湍。览物起悲绪，顾已识忧端。朽貌改鲜色，悴容变柔颜。变改苟催促，容色乌盘桓。亹亹衰期迫，靡靡壮志阑。既惭臧孙慨，复愧杨子叹。寸阴果有逝，尺素竟无观。幸赊道念戚，且取长歌欢。,1
Song,王安石,晨兴望南山,晨兴望南山，不见南山根。草树露颠顶，樛枝空复繁。铜瓶取井水，已至尚馀温。天风一吹拂，的皪成玙璠。,3
WeiJin,傅咸,孝经诗二章,立身行道，始于事亲。上下无怨，不恶于人。孝无终始，不离其身。三者备矣，以临其民。（一章）以孝事君，不离令名。进思尽忠，义则不争。匡救其恶，灾害不生。孝悌之至，通于神明。（二章）,0
Qing,毛先舒,孔北海融述志,炎炎当路客，奕奕朱门开。雄鸡无三号，冠盖纷沓来。志士大所营，漂漂穷无依。结根在累世，安能灼馀辉。历观古俊民，功成道何微。子牙尚阴谋，管仲器小哉！人生履国步，周道自我夷。猛虎扼其项，何况狐与狸。此身勤君父，安得慕荑齐。曲士矜一节，度外宁所希。宁为白玉碎，不为长伏雌。,6
Qing,王氏（嘉兴）,春日,昼长门静掩，愁病自应怜。倦绣频馀锦，焚香数爇钱。护花嫌蝶舞，闻柳爱莺眠。偶到楼头望，春光半巳还。,6
NanBei,殷淡,宋章庙乐舞歌十五首 其一 肃咸乐（二章。夕牲宾出入奏。）,彝承孝典，恭事严圣。浃天奉赆，罄壤齐庆。司仪具序，羽容夙彰。芬枝飏烈，黼构周张。助宝奠轩，酎珍充庭。璆县凝会，琄朱伫声。先期选礼，肃若有承。祗对灵祉，皇庆昭膺。,1
Song,史浩,晨兴怀寺中用前韵,薛公言慷慨，端可讽驯犀。器广蜃江小，名高雁岭低。宸居清琐闼，禁路紫骝蹄。揆德宜长处，何因梦白鸡。,3
Ming,王永积,其八 柳岸烟莎（咏柳浪桥）,二月芳堤媚，轻风漾碧丝。行人莫系马，恐有断肠诗。,5
WeiJin,湛方生,后齐诗,解缨复褐，辞朝归薮。门不容轩，宅不盈亩。茂草笼庭，滋兰拂牖。抚我子侄，携我亲友。茹彼园蔬，饮此春酒。开棂攸瞻，坐对川阜。心焉孰托，托心非有。素构易抱，玄根难朽。即之匪远，可以长久。,0
NanBei,刘义恭,游子移,三河游荡子，丽颜迈荆宝。携持玉柱筝，怀挟忘忧草。绸缪甘泉中，驰逐邯郸道。春服候时制，秋纨迎凉造。珍魄晖素腕，玉迹满襟抱。常叹乐日晏，恒悲欢不早。挥吹传旧美，趋谣尽新好。仲尼为辍餐，秦王足倾倒。,1
Ming,王禹声,其二,清灯寒夜共围炉，春月关情酒百壶。君去我留岑寂甚，独看灯月影犹孤。,5
WeiJin,嵇康,游仙诗,遥望山上松，隆谷郁青葱。自遇一何高，独立迥地双。愿想游其下，蹊路绝不通。王乔弃我去，乘云驾六龙。飘遥戏玄圃，黄老路相逢。授我自然道，旷若发童蒙。采药钟山隅，服食改姿容。蝉蜕弃秽累，结友家板桐。临觞奏九韶，雅歌何邕邕。长与俗人别，谁能睹其踪。,0
Yuan,吴当,仙游观紫云亭,山色更深处，烧丹仍筑亭。春云瞻紫气，夜月卷黄庭。种竹堪扶老，栽松已伏苓。何时解尘鞅，来写换鹅经。,4
NanBei,何胥,哭陈昭诗,思人适旧馆，寂寞非一源。无复酣歌乐，空馀燕雀喧。落晖隐穷巷，秋风生故园。抚孤空对此，零泪欲奚言。,1
NanBei,吴迈远,飞来双白鹄,可怜双白鹄，双双绝尘氛。连翩弄光景，交颈游青云。逢罗复逢缴，雌雄一旦分。哀声流海曲，孤叫出江濆。岂不慕前侣，为尔不及群。步步一零泪，千里犹待君。乐哉新相知，悲来生别离。持此百年命，共逐寸阴移。譬如空山草，零落心自知。,1
Qing,王颖锐,其六 柳汀渔火,点点白于星，湖光暗柳汀。断桥穿苇港，缺岸照柴扃。明灭听行蟹，高低看聚萤。老渔偏罢钓，买酒过旗亭。,6
Ming,王阜,落花叹,落花叹，花昔开时春满眼。东邻西舍来看花，秉烛夜游作花伴。韶光转眼瞬息间，残妆憔悴无人管。落花叹，叹落花，花今衰老无容华。当时把玩胜珠玉，今日抛弃成泥沙。半飞半舞更展转，欲落未落犹回斜。落花叹，叹花落，花怨东君情太薄。收却园林锦绣机，吹惹莲台绿罗幕。蜂蝶无情竟不来，桃李无言空寂寞。,5
Qing,毛启凤,春日,梅梢月上影重重，春暖贪眠意更慵。倚枕不知天渐晓，忽闻山寺数声钟。,6
Tang,王契,桔槔赋,智者济时以设功。强名之曰桔槔。何朴斲之太。俾役力兮不劳。作固兮为我之身。临深兮是我之理。若虞机张。如鸟斯企。山有木。因工见汲引之能。巽乎水。自我成润物之美。不羸瓶而上出。何抱瓮之勤止。执虚趋下。虽自屈于劳形。持满因高。终见伸于知巳。郑圃之侧。潘园之旁。沟塍绮错。畎亩相望。带嘉蔬兮映芳草。背古岸兮面垂杨。欲建标以取别。能举直而自强。若垂竿兮匪钓。象爟火兮无光。不忘机以弃俗。乃习坎而为常。随用舍而俯仰。应浅深而短长。重泉之水兮不滞。九畹之兰兮益芳。虽欲绝学以弃智。其若得存而失亡。歌曰。大道隐兮世人薄。无为守拙空寂寞。老圃之道可行。何耻见机而作。,2
Song,毛滂,八月二十八日挈家泛舟游上渚诗（明嘉靖《武康县志》题作上渚湖）,秋色向幽处，浮家聊远寻。醉来蓬鬓乱，卧入蓼花深。云壑封诗物，烟波留客心。未应儿辈觉，馀醁且勤斟。,3
Yuan,李道坦,杜鹃行,吾闻昔有蜀天子，化作冤禽名杜宇。一身流落怀故乡，万里逢人诉离苦。西来纵呼巫峡间，楚台花落青春阑。台中魂梦久寂寞，行云日暮愁空山。明朝复向潇湘发，北叫苍梧江竹裂。竹间之泪花上血，怨入东风俱不灭。天涯无穷朝暮啼，王孙草绿不须归。哀哉王孙终不归，江南江北杨花飞。,4
NanBei,萧子显,春别诗四首（《诗纪》云。简文、元帝同和。） 其一,翻莺度燕双比翼，杨柳千条共一色。但看陌上携手归，谁能对此空相忆。,1
Ming,叶之芳,入新安溪,可怪新安水，舟从石上行。不风秋暮冷，无月夜深明。古本何年偃，危湍几处惊。千寻犹见底，曾数越江清。,5
WeiJin,缪袭,其八 平南荆,南荆何辽辽，江汉浊不清。菁茅久不贡，王师赫南征。刘琮据襄阳，贼备屯樊城。六军庐新野，金鼓震天庭。刘子面缚至，武皇许其成。许与其成，抚其民。陶陶江汉间，普为大魏臣。大魏臣，向风思自新。思自新，齐功古人。在昔虞与唐，大魏得与均。多选忠义士，为喉唇。天下一定，万世无风尘。,0
Song,王崇,䃜山道中,溅石韵寒泉，依稀言语处。回头觉无人，又上前溪去。,3
Tang,牟融,送罗约,雨晴江馆柳依依，握手那堪此别离。独鹤孤琴随远旆，红亭绿酒惜分岐。月明野店闻鸡早，花暗关城匹马迟。从夜定知相忆处，东风回首不胜悲。,2
Yuan,方凤,客有问金华胜游者以诗叙其概,赤松上下雨霏微，八咏楼头重拂衣。西港晴来汀草长，北岩幽处洞泉飞。风敲定磬鹿春过，月满丹台鹤夜归。历览因知古词客，盛誇云梦未全非。,4
Yuan,周驰,远观亭三首 其一,徐君因仕宦，便欲老江南。风土知为美，人情亦粗谙。买田收黑黍，为圃树黄柑。我有相从意，羁栖力未堪。,4
Yuan,牧常晁,西江月,一意中宫不动，四方四兽称臣。内丹外药合天真。现出一轮宝镜。此景此时此地，无心无我无人。不知谁是本来心。湛寂真常妙境。,4
Ming,王锡爵,菩萨蛮 饮村舍,翠屏叠叠知多少。小桥斜去西流绕。茅屋几人家。桃花和李花。疏篱遮短短。扑鼻香醪满。燕子一双低。樽前坠湿泥。,5
Qing,王朝元,题爱吟草殉节录后 其一,穷经国士解谈兵，缓带经裘事远征。诗赋不疏戎马地，纲常自镇死生情。爱吟遗著生前草，忠节高标殁后旌。此日魂游何处所，墓门松柏自峥嵘。,6
